state;postcode;locality;division
A;2620;Rendezvous Creek District;BEAN
A;2620;Williamsdale;BEAN
A;2611;Molonglo Valley District;BEAN
A;2611;Molonglo Valley District;CANBERRA
A;2600;HMAS Harman;BEAN
A;2611;Pierces Creek;BEAN
A;2912;Gungahlin District;FENNER
A;2615;Macnamara;FENNER
A;2620;Kowen Forest;CANBERRA
A;2620;Tennent District;BEAN
A;2611;Coree District;BEAN
A;2620;Kowen District;CANBERRA
A;2620;Hume;BEAN
A;2609;Jerrabomberra District;BEAN
A;2617;Belconnen District;BEAN
A;2617;Belconnen District;CANBERRA
A;2617;Belconnen District;FENNER
A;2609;Fyshwick;CANBERRA
A;2620;Booth District;BEAN
A;2611;Stromlo District;BEAN
A;2620;Tuggeranong District;BEAN
A;2611;Weston Creek District;CANBERRA
A;2620;Tharwa;BEAN
A;2620;Paddys River District;BEAN
A;2609;Majura District;CANBERRA
A;2609;Pialligo;CANBERRA
A;2540;Jervis Bay;FENNER
A;2540;Wreck Bay;FENNER
A;2611;Uriarra;BEAN
A;2620;Oaks Estate;CANBERRA
A;2618;Hall;FENNER
A;2600;Parkes;CANBERRA
A;2914;Jacka;FENNER
A;2609;Symonston;BEAN
A;2609;Symonston;CANBERRA
A;2601;Acton;CANBERRA
A;2606;O'Malley;BEAN
A;2611;Whitlam;BEAN
A;2904;Macarthur;BEAN
A;2615;Strathnairn;FENNER
A;2903;Oxley;BEAN
A;2617;Lawson;CANBERRA
A;2899;Norfolk Island;BEAN
A;2600;Barton;CANBERRA
A;2612;Reid;CANBERRA
A;2611;Stirling;BEAN
A;2603;Forrest;CANBERRA
A;2615;Fraser;FENNER
A;2914;Throsby;FENNER
A;2607;Torrens;BEAN
A;2607;Isaacs;BEAN
A;2614;Aranda;CANBERRA
A;2606;Chifley;BEAN
A;2611;Waramanga;BEAN
A;2615;Spence;FENNER
A;2905;Gilmore;BEAN
A;2607;Pearce;BEAN
A;2611;Holder;BEAN
A;2614;Page;FENNER
A;2617;McKellar;FENNER
A;2614;Weetangera;CANBERRA
A;2606;Lyons;CANBERRA
A;2614;Scullin;FENNER
A;2614;Macquarie;CANBERRA
A;2615;Charnwood;FENNER
A;2611;Chapman;BEAN
A;2614;Cook;CANBERRA
A;2605;Hughes;CANBERRA
A;2905;Richardson;BEAN
A;2614;Hawker;CANBERRA
A;2601;Canberra City;CANBERRA
A;2607;Mawson;BEAN
A;2904;Fadden;BEAN
A;2611;Fisher;BEAN
A;2904;Gowrie;BEAN
A;2602;Hackett;CANBERRA
A;2602;Hackett;FENNER
A;2600;Deakin;CANBERRA
A;2605;Garran;CANBERRA
A;2615;Melba;FENNER
A;2611;Rivett;BEAN
A;2617;Giralang;CANBERRA
A;2615;Higgins;FENNER
A;2600;Yarralumla;CANBERRA
A;2611;Duffy;BEAN
A;2615;Flynn;FENNER
A;2603;Red Hill;CANBERRA
A;2611;Wright;BEAN
A;2607;Farrer;BEAN
A;2615;Latham;FENNER
A;2611;Weston;BEAN
A;2905;Bonython;BEAN
A;2914;Moncrieff;FENNER
A;2914;Forde;FENNER
A;2905;Theodore;BEAN
A;2602;Downer;CANBERRA
A;2911;Crace;FENNER
A;2602;Dickson;CANBERRA
A;2611;Denman Prospect;BEAN
A;2612;Turner;CANBERRA
A;2913;Taylor;FENNER
A;2905;Isabella Plains;BEAN
A;2611;Coombs;BEAN
A;2615;Florey;FENNER
A;2606;Phillip;BEAN
A;2606;Swinger Hill;BEAN
A;2900;Greenway;BEAN
A;2906;Banks;BEAN
A;2913;Franklin;FENNER
A;2906;Conder;BEAN
A;2905;Chisholm;BEAN
A;2913;Palmerston;FENNER
A;2602;Lyneham;CANBERRA
A;2617;Evatt;FENNER
A;2605;Curtin;CANBERRA
A;2914;Bonner;FENNER
A;2615;Holt;FENNER
A;2602;Ainslie;CANBERRA
A;2914;Amaroo;FENNER
A;2913;Casey;FENNER
A;2904;Monash;BEAN
A;2602;O'Connor;CANBERRA
A;2905;Calwell;BEAN
A;2617;Bruce;CANBERRA
A;2603;Griffith;CANBERRA
A;2914;Harrison;FENNER
A;2615;Macgregor;FENNER
A;2617;Belconnen;FENNER
A;2612;Braddon;CANBERRA
A;2602;Watson;CANBERRA
A;2604;Kingston;CANBERRA
A;2912;Gungahlin;FENNER
A;2612;Campbell;CANBERRA
A;2913;Nicholls;FENNER
A;2615;Dunlop;FENNER
A;2604;Narrabundah;CANBERRA
A;2617;Kaleen;CANBERRA
A;2903;Wanniassa;BEAN
A;2906;Gordon;BEAN
A;2913;Ngunnawal;FENNER
A;2902;Kambah;BEAN
D;820;East Point;SOLOMON
D;822;4 Mile Camp;LINGIARI
D;822;Annaburroo Stn;LINGIARI
D;822;Barrihdjowkeng;LINGIARI
D;822;Buni-Inwunbuluk;LINGIARI
D;822;Camp Creek;LINGIARI
D;822;Carmor Plains Stn;LINGIARI
D;822;Channel Point;LINGIARI
D;822;Dhamiyaka;LINGIARI
D;822;Ditchi;LINGIARI
D;822;Djudian;LINGIARI
D;822;Douglas River;LINGIARI
D;822;Finniss River Stn;LINGIARI
D;822;Gamarragurra;LINGIARI
D;822;Ganpura;LINGIARI
D;822;Garmalatjirrina;LINGIARI
D;822;Gatji;LINGIARI
D;822;Goat Island;LINGIARI
D;822;Goodwill Mine;LINGIARI
D;822;Gumeragi;LINGIARI
D;822;Gumugumuk;LINGIARI
D;822;Gumuruguru;LINGIARI
D;822;Iron Stone;LINGIARI
D;822;Koolpinyah Stn;LINGIARI
D;822;Kungarrewarl;LINGIARI
D;822;Kuwuma;LINGIARI
D;822;Kuy;LINGIARI
D;822;Mariah;LINGIARI
D;822;Mawulyumanja;LINGIARI
