state,division,ballotPosition,surname,ballotGivenName,partyBallotName
ACT,Bean,1,LAMERTON,David,Liberal
ACT,Bean,2,PRICE,Jessie,Independent
ACT,Bean,3,CARTER,Sam,Australian Greens
ACT,Bean,4,SMITH,David,Australian Labor Party
ACT,Canberra,1,MUDFORD,Isabel,Australian Greens
ACT,Canberra,2,LIDDICOAT,Mary-Jane,HEART Party
ACT,Canberra,3,MILES,Claire,Independent
ACT,Canberra,4,ROCHE,Will,Liberal
ACT,Canberra,5,PAYNE,Alicia,Australian Labor Party
ACT,Canberra,6,McTAGGART,Teresa,AJP
ACT,Fenner,1,OLATUNBOSUN,Bola,Liberal
ACT,Fenner,2,KIKKERT,Elizabeth,Family First
ACT,Fenner,3,LEIGH,Andrew,Australian Labor Party
ACT,Fenner,4,HUNTERFORD,Dani,Australian Greens
NSW,Banks,1,TARUSTE,Allan,Trumpet of Patriots
NSW,Banks,2,NICOL,Todd,Pauline Hanson's One Nation
NSW,Banks,3,PEARCE,Phillip,Australian Democrats
NSW,Banks,4,MOMIRCEVSKI,Marika,Libertarian
NSW,Banks,5,HANNA,Natalie,The Greens
NSW,Banks,6,SOON,Zhi,Labor
NSW,Banks,7,COLEMAN,David,Liberal
NSW,Banks,8,COYNE,John,Independent
NSW,Barton,1,KOLHATKAR,Vinay,Libertarian
NSW,Barton,2,NICOLIS,Christos,Pauline Hanson's One Nation
NSW,Barton,3,AMBIHAIPAHAR,Ash,Labor
NSW,Barton,4,DOUSKOU,Fiona,Liberal
NSW,Barton,5,BAHSA,Manal,The Greens
NSW,Barton,6,PAMBRIS,Thomas,Trumpet of Patriots
NSW,Bennelong,1,YUNG,Scott,Liberal
NSW,Bennelong,2,DEVINE,Barry,HEART Party
NSW,Bennelong,3,NALBANDIAN,Robert,Trumpet of Patriots
NSW,Bennelong,4,LAXALE,Jerome,Labor
NSW,Bennelong,5,HART,Adam,The Greens
NSW,Bennelong,6,CHAN,Eric,Family First
NSW,Bennelong,7,BENNETT,Craig,Pauline Hanson's One Nation
NSW,Bennelong,8,AUGUST,John,FUSION | Planet Rescue | Whistleblower Protection | Innovation
NSW,Berowra,1,COUSINS,Martin,The Greens
NSW,Berowra,2,MATTINSON,Gerald,Pauline Hanson's One Nation
NSW,Berowra,3,KOSCHINSKI,Benson,Labor
NSW,Berowra,4,WOODWARD,Roger,Independent
NSW,Berowra,5,CLARKE,Brendan Michael,FUSION | Planet Rescue | Whistleblower Protection | Innovation
